Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
0,1,3.55,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
1,0,18.09,5,8,.625,0,0,,0,0,,3,6,9,1,0,0,2,3,10,7.8
0,0,24.26,4,9,.444,0,0,,0,0,,3,1,4,0,0,0,1,2,8,3.9
1,0,17.44,1,4,.250,0,0,,3,4,.750,1,2,3,0,0,1,1,1,5,2.8
0,0,17.00,2,4,.500,0,0,,0,2,.000,2,2,4,1,1,1,1,1,4,4.2
1,1,15.37,3,3,1.000,0,0,,4,4,1.000,0,2,2,1,2,0,1,2,10,10.6
1,1,14.26,4,7,.571,0,0,,0,1,.000,3,2,5,4,2,0,2,0,8,9.8
1,1,5.48,1,3,.333,0,1,.000,1,2,.500,2,3,5,0,0,0,1,2,3,1.4
0,0,18.17,2,3,.667,0,0,,0,0,,2,4,6,0,3,0,0,3,4,7.1
0,1,0.40,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7
0,0,31.54,8,13,.615,1,1,1.000,6,6,1.000,6,6,12,0,2,3,0,2,23,26.4
1,0,17.51,2,6,.333,0,1,.000,2,2,1.000,2,2,4,1,1,0,0,3,6,5.1
1,0,27.21,3,7,.429,0,0,,5,7,.714,4,7,11,2,2,1,1,0,11,14.5
1,0,24.27,7,13,.538,0,1,.000,2,3,.667,1,5,6,2,0,0,1,5,16,9.9
1,0,12.24,3,4,.750,0,0,,0,0,,1,1,2,0,0,0,3,4,6,0.8
0,0,18.34,2,3,.667,1,1,1.000,3,4,.750,2,4,6,0,1,0,3,3,8,5.7
0,0,25.22,4,7,.571,0,1,.000,0,2,.000,1,5,6,2,0,2,1,1,8,7.5
0,0,10.08,3,6,.500,1,1,1.000,0,0,,0,3,3,0,0,1,0,1,7,5.2
0,1,13.54,4,7,.571,0,0,,0,0,,1,5,6,0,0,0,0,0,8,6.9
1,0,17.04,2,6,.333,0,0,,0,0,,1,3,4,1,0,0,0,1,4,2.5
1,1,24.31,5,10,.500,1,2,.500,8,8,1.000,3,3,6,4,1,0,2,5,19,16.8
1,1,22.05,3,3,1.000,0,0,,3,3,1.000,0,7,7,1,1,0,1,1,9,10.5
0,1,20.33,3,4,.750,0,0,,0,0,,2,1,3,2,2,2,2,3,6,7.7
0,0,21.01,1,5,.200,0,2,.000,5,6,.833,3,7,10,0,1,0,2,3,7,5.5
1,0,22.53,6,8,.750,0,1,.000,1,2,.500,1,2,3,2,0,1,0,2,13,12.0
1,0,29.59,5,7,.714,0,0,,5,6,.833,6,4,10,5,0,0,3,1,15,17.2
0,1,21.32,5,7,.714,1,2,.500,2,2,1.000,5,4,9,2,1,0,2,3,13,14.0
0,0,26.09,10,19,.526,1,2,.500,1,2,.500,5,2,7,5,1,1,3,4,22,17.0
0,0,17.21,3,7,.429,1,1,1.000,0,0,,1,2,3,2,1,0,2,4,7,3.4
1,0,22.25,4,11,.364,0,0,,2,3,.667,2,5,7,1,1,1,2,6,10,4.4
0,0,18.22,3,6,.500,0,0,,4,4,1.000,3,3,6,1,0,2,2,0,10,10.1
0,0,5.24,0,0,,0,0,,0,0,,0,1,1,1,0,0,2,2,0,-1.8
1,0,21.54,3,7,.429,0,1,.000,3,4,.750,4,6,10,2,2,1,2,5,9,9.6
0,1,25.45,2,5,.400,0,1,.000,0,0,,2,3,5,3,0,0,2,1,4,3.3
0,0,18.31,4,4,1.000,1,1,1.000,0,0,,3,2,5,1,0,0,1,2,9,9.4
1,1,23.08,2,4,.500,0,1,.000,0,0,,0,7,7,9,0,1,1,1,4,9.7
1,1,15.45,3,6,.500,0,1,.000,0,0,,3,4,7,2,3,0,1,4,6,8.1
1,0,17.40,4,7,.571,0,0,,1,1,1.000,2,4,6,5,0,1,1,2,9,10.7
1,1,24.14,6,11,.545,1,3,.333,5,6,.833,2,0,2,3,4,0,1,2,18,18.0
1,0,19.09,2,4,.500,0,1,.000,2,2,1.000,1,2,3,1,1,0,1,2,6,5.2
