Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
0,0,56,13,34,0.382,1,1,1,7,9,0.778,2,11,13,8,2,1,2,5,34,23.6
1,1,53,14,26,0.538,3,4,0.75,10,12,0.833,3,9,12,4,3,0,2,2,41,35.4
1,1,52,13,24,0.542,3,3,1,8,10,0.8,2,8,10,4,0,1,5,1,37,26.5
0,1,52,18,38,0.474,0,2,0,13,19,0.684,2,3,5,5,1,1,4,3,49,29.5
1,0,52,14,26,0.538,0,0,,2,2,1,2,7,9,3,2,1,6,3,30,18.5
0,0,51,12,36,0.333,0,3,0,13,13,1,3,4,7,9,2,0,4,3,37,23
0,1,51,16,39,0.41,0,1,0,8,10,0.8,3,5,8,7,3,1,3,4,40,25.9
0,0,50,11,31,0.355,0,1,0,12,15,0.8,3,3,6,10,3,1,3,3,34,25
0,0,50,12,26,0.462,1,2,0.5,13,16,0.813,3,5,8,12,3,1,2,6,38,34.7
0,1,50,23,37,0.622,2,6,0.333,21,23,0.913,7,11,18,6,4,1,2,5,69,64.6
1,1,50,10,28,0.357,0,4,0,12,13,0.923,8,10,18,2,0,0,8,3,32,16.8
1,1,50,15,26,0.577,0,0,,5,7,0.714,0,11,11,6,0,0,3,3,35,25.3
1,0,50,10,25,0.4,0,1,0,3,4,0.75,1,10,11,3,0,0,2,2,23,12.1
1,1,49,12,21,0.571,0,0,,10,13,0.769,1,8,9,9,1,0,6,4,34,25.7
0,1,49,10,30,0.333,0,1,0,12,12,1,2,6,8,5,3,0,1,2,32,22.9
1,0,48,12,27,0.444,0,1,0,4,4,1,3,6,9,5,0,0,1,4,28,18.7
1,1,48,11,25,0.44,0,3,0,10,13,0.769,6,5,11,16,1,1,3,5,32,31.3
0,1,48,13,30,0.433,0,0,,14,15,0.933,5,4,9,6,3,6,4,3,40,34.7
1,0,48,13,30,0.433,0,1,0,17,18,0.944,1,6,7,6,5,4,7,5,43,32.3
1,1,48,11,29,0.379,0,0,,17,20,0.85,2,7,9,5,4,2,0,4,39,32.7
0,1,48,14,29,0.483,0,0,,11,13,0.846,2,6,8,7,2,4,3,3,39,32.2
1,0,48,16,27,0.593,0,0,,9,14,0.643,1,3,4,5,4,2,0,2,41,36.2
1,1,48,12,39,0.308,1,4,0.25,4,6,0.667,4,9,13,4,5,2,3,0,29,17.4
0,0,47,5,20,0.25,0,0,,3,3,1,1,6,7,8,4,2,7,0,13,7.5
1,1,47,15,30,0.5,0,3,0,11,15,0.733,1,9,10,11,6,0,4,5,41,35.5
1,1,47,19,31,0.613,1,2,0.5,15,17,0.882,3,11,14,6,3,1,0,3,54,51.2
0,0,47,21,43,0.488,0,2,0,7,10,0.7,1,6,7,2,0,1,0,1,49,30.3
1,0,47,12,29,0.414,0,6,0,19,22,0.864,5,2,7,4,7,0,3,5,43,35.2
0,1,47,17,27,0.63,0,0,,6,9,0.667,0,6,6,8,1,2,4,3,40,31.3
0,0,47,21,39,0.538,1,2,0.5,11,14,0.786,5,8,13,7,1,3,5,4,54,41.2
1,0,47,27,49,0.551,1,5,0.2,9,11,0.818,4,2,6,1,5,0,2,5,64,44.8
0,1,47,13,34,0.382,0,3,0,7,7,1,2,4,6,4,2,1,3,5,33,17.5
0,1,47,15,32,0.469,0,5,0,8,10,0.8,2,9,11,4,1,0,2,5,38,24.7
1,1,47,10,32,0.313,0,2,0,10,14,0.714,5,4,9,3,1,1,2,2,30,15.7
0,1,47,12,25,0.48,0,1,0,10,11,0.909,0,9,9,9,1,2,4,2,34,27.5
0,0,47,10,24,0.417,1,3,0.333,5,11,0.455,4,3,7,3,1,1,1,4,26,15.7
1,1,47,11,26,0.423,0,2,0,4,4,1,1,2,3,8,4,2,4,5,26,18.5
0,1,47,10,22,0.455,1,1,1,4,4,1,2,11,13,7,2,0,2,3,25,22
0,1,46,12,21,0.571,1,1,1,12,12,1,2,2,4,7,2,1,2,5,37,32.7
0,0,46,13,22,0.591,0,0,,9,13,0.692,1,4,5,4,2,0,3,1,35,26.5
1,1,46,13,24,0.542,0,1,0,12,13,0.923,1,11,12,11,3,0,6,4,38,33.1
0,0,46,17,30,0.567,0,1,0,13,14,0.929,2,9,11,13,4,2,4,3,47,45.8
0,0,46,14,25,0.56,1,3,0.333,7,9,0.778,0,8,8,10,4,1,4,4,36,31.8
0,1,46,15,32,0.469,0,3,0,8,9,0.889,1,7,8,8,4,0,1,4,38,31
0,0,46,17,32,0.531,2,4,0.5,8,8,1,3,0,3,5,2,0,3,3,44,31.8
