Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
1,1,32.00,4,8,0.5,0,0,,4,7,0.571,5,13,18,2,1,3,8,6,12,8.3
0,1,40.00,8,16,0.5,0,0,,6,11,0.545,5,10,15,1,0,4,4,5,22,16
1,0,34.00,15,25,0.6,0,0,,5,8,0.625,4,9,13,1,1,3,4,4,35,26
1,1,36.00,12,19,0.632,0,0,,7,12,0.583,9,12,21,1,0,4,6,4,31,26.3
0,0,35.00,9,16,0.563,0,0,,11,16,0.688,5,10,15,1,1,3,2,4,29,26.1
0,1,34.00,12,19,0.632,0,0,,5,11,0.455,7,12,19,1,1,3,3,5,29,25.4
1,1,41.00,8,15,0.533,0,0,,13,18,0.722,5,11,16,3,2,3,4,3,29,27.5
0,0,44.00,7,18,0.389,0,0,,4,11,0.364,3,14,17,2,1,3,7,4,18,7.6
1,1,42.00,6,12,0.5,0,0,,0,0,,1,12,13,2,1,3,2,3,12,11.6
0,1,30.00,7,10,0.7,0,0,,7,13,0.538,3,8,11,1,1,4,4,4,21,17.8
1,1,40.00,10,19,0.526,0,0,,2,6,0.333,7,7,14,1,0,3,7,3,22,12.7
0,0,36.00,4,11,0.364,0,0,,1,7,0.143,4,7,11,1,0,4,4,4,9,3.3
0,0,34.00,10,22,0.455,0,0,,6,9,0.667,4,5,9,2,5,4,3,5,26,21.9
0,0,37.00,5,18,0.278,0,0,,7,12,0.583,7,10,17,0,0,6,1,5,17,13.5
1,0,44.00,10,19,0.526,0,0,,6,11,0.545,4,11,15,4,1,4,3,2,26,23.6
0,0,41.00,7,16,0.438,0,0,,3,10,0.3,4,7,11,0,0,5,3,6,17,8.8
1,0,38.00,10,18,0.556,0,0,,6,10,0.6,6,11,17,0,2,4,5,3,26,21.9
1,1,29.00,6,9,0.667,0,0,,8,11,0.727,3,11,14,1,0,6,5,4,20,18.6
1,1,37.00,9,14,0.643,0,0,,4,7,0.571,6,14,20,2,0,7,5,4,22,22.7
0,1,34.00,7,11,0.636,0,0,,1,1,1,1,4,5,5,1,5,3,3,15,15.8
1,1,42.00,12,18,0.667,0,0,,4,10,0.4,5,14,19,3,0,5,5,4,28,24.5
0,0,36.00,6,15,0.4,0,1,0,6,9,0.667,3,8,11,2,0,3,3,5,18,11.7
1,1,38.00,9,15,0.6,0,0,,3,4,0.75,6,8,14,2,1,5,3,3,21,22
1,0,44.00,7,11,0.636,0,0,,9,11,0.818,7,16,23,2,0,0,7,3,23,20.2
1,0,44.00,11,22,0.5,0,0,,7,12,0.583,5,10,15,1,1,3,7,3,29,18.1
1,0,38.00,12,19,0.632,0,0,,5,11,0.455,6,6,12,0,0,5,1,6,29,24.2
1,1,34.00,10,17,0.588,0,0,,2,4,0.5,1,12,13,3,0,5,1,5,22,20.2
1,0,44.00,11,20,0.55,0,0,,8,13,0.615,5,15,20,0,0,8,2,3,30,28.8
1,0,41.00,8,10,0.8,0,0,,3,8,0.375,6,5,11,5,0,0,8,2,19,13.6
0,1,40.00,7,15,0.467,0,1,0,8,9,0.889,1,11,12,2,0,4,2,3,22,18.9
0,1,50.00,11,18,0.611,0,0,,7,12,0.583,9,15,24,2,1,5,6,2,29,28.7
0,0,48.00,16,24,0.667,0,0,,6,7,0.857,8,8,16,3,2,8,9,5,38,33.9
1,0,24.00,6,8,0.75,0,0,,3,6,0.5,4,7,11,0,3,5,2,5,15,18
1,1,40.00,14,16,0.875,0,0,,10,14,0.714,4,9,13,2,0,7,3,0,38,39.6
1,1,32.00,10,18,0.556,0,0,,6,9,0.667,5,7,12,3,1,2,2,5,26,22.3
0,0,34.00,9,13,0.692,0,0,,7,10,0.7,2,5,7,0,0,1,1,5,25,18.9
1,0,40.00,10,13,0.769,0,0,,6,7,0.857,3,10,13,2,0,2,6,6,26,20
0,1,36.00,5,13,0.385,0,0,,8,15,0.533,2,4,6,1,0,4,2,6,18,9.8
0,1,32.00,13,17,0.765,0,0,,5,9,0.556,3,11,14,1,1,2,1,5,31,28.2
0,1,39.00,10,15,0.667,0,0,,2,4,0.5,3,8,11,3,0,3,6,4,22,15.8
0,0,29.00,9,14,0.643,0,0,,2,3,0.667,2,3,5,1,1,2,5,6,20,11.4
0,0,38.00,8,17,0.471,0,0,,6,8,0.75,4,7,11,1,2,4,4,4,22,17.3
1,1,38.00,8,18,0.444,0,0,,3,8,0.375,5,9,14,2,1,1,4,3,19,11.7
0,0,34.00,11,18,0.611,0,0,,7,10,0.7,10,5,15,2,1,4,4,5,29,27.3
1,1,47.00,8,25,0.32,0,0,,5,10,0.5,9,10,19,0,2,9,4,5,21,16.3
0,0,49.00,19,25,0.76,0,0,,8,16,0.5,3,18,21,3,0,5,6,5,46,38
1,1,42.00,10,17,0.588,0,0,,4,7,0.571,7,11,18,2,1,5,5,4,24,22.4
1,1,37.00,9,12,0.75,0,0,,10,16,0.625,2,12,14,2,0,5,5,3,28,24.5
1,0,44.00,12,20,0.6,0,0,,6,12,0.5,7,12,19,1,1,0,3,1,30,25.2
0,1,42.00,12,15,0.8,0,0,,4,5,0.8,0,11,11,1,1,3,2,2,28,26.2
1,0,34.00,8,18,0.444,0,0,,3,5,0.6,2,11,13,2,0,3,3,4,19,12.4
1,1,37.00,10,19,0.526,0,0,,5,9,0.556,9,7,16,1,1,2,2,4,25,22
0,0,32.00,6,10,0.6,0,0,,6,8,0.75,2,9,11,0,1,8,5,5,18,16.3
